Gene set	size	genes
Op:metNIQ	3	b0199,b0198,b0197
Op:metY-rimP-nusA-infB-rbfA-truB-rpsO-pnp	7	b3170,b3169,b3168,b3167,b3166,b3165,b3164
Op:mglBAC	3	b2150,b2149,b2148
Op:mgtLA	2	b4702,b4242
Op:mhpABCDFE	6	b0347,b0348,b0349,b0350,b0351,b0352
Op:mhpR-lacI	2	b0346,b0345
Op:minCDE	3	b1176,b1175,b1174
Op:mlaFEDCB	5	b3195,b3194,b3193,b3192,b3191
Op:mlc-ynfK	2	b1594,b1593
Op:mmuPM	2	b0260,b0261
Op:mnaT-ydcZ	2	b1448,b1447
Op:mngAB	2	b0731,b0732
Op:mntR-ybiR	2	b0817,b0818
Op:moaABCDE	5	b0781,b0782,b0783,b0784,b0785
Op:mobAB	2	b3857,b3856
Op:modABC	3	b0763,b0764,b0765
Op:modEF	2	b0761,b0760
Op:moeAB	2	b0827,b0826
Op:mokC-hokC	2	b0018,b4412
Op:motAB-cheAW	4	b1890,b1889,b1888,b1887
Op:mprA-emrAB	3	b2684,b2685,b2686
Op:mqsRA	2	b3022,b3021
Op:mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	16	b0081,b0082,b0083,b0084,b0085,b0086,b0087,b0088,b0089,b0090,b0091,b0092,b0093,b0094,b0095,b0096
Op:mreBCD	3	b3251,b3250,b3249
Op:msrPQ	2	b1971,b1972
Op:mtlADR	3	b3599,b3600,b3601
Op:mtn-btuF-yadS	3	b0159,b0158,b0157
Op:murB-birA	2	b3972,b3973
Op:murQP-yfeW	3	b2428,b2429,b2430
Op:mutY-yggX-mltC-nupG	4	b2961,b2962,b2963,b2964
Op:nadA-pnuC	2	b0750,b0751
Op:nagBAC-umpH	4	b0678,b0677,b0676,b0675
Op:nagK-cobB	2	b1119,b1120
Op:nanATEK-yhcH	5	b3225,b3224,b3223,b3222,b3221
Op:nanCMS	3	b4311,b4310,b4309
Op:napFDAGHBC-ccmABCDEFGH	15	b2208,b2207,b2206,b2205,b2204,b2203,b2202,b2201,b2200,b2199,b2198,b2197,b2196,b2195,b2194
Op:narGHJI	4	b1224,b1225,b1226,b1227
Op:narXL	2	b1222,b1221
Op:narZYWV	4	b1468,b1467,b1466,b1465
Op:nemRA-gloA	3	b1649,b1650,b1651
Op:nfrBA	2	b0569,b0568
Op:nhaAR	2	b0019,b0020
Op:nikABCDER	6	b3476,b3477,b3478,b3479,b3480,b3481
Op:nirBDC-cysG	4	b3365,b3366,b3367,b3368
Op:nlpD-rpoS	2	b2742,b2741
Op:nnr-tsaE-amiB-mutL-miaA-hfq-hflXKC	9	b4167,b4168,b4169,b4170,b4171,b4172,b4173,b4174,b4175
Op:nohA-stfQ-tfaQ	2	b1548,b1546
Op:norVW	2	b2710,b2711
Op:nrdAB-yfaE	3	b2234,b2235,b2236
Op:nrdDG	2	b4238,b4237
Op:nrdHIEF	4	b2673,b2674,b2675,b2676
Op:nrdR-ribDE-nusB-thiL-pgpA	6	b0413,b0414,b0415,b0416,b0417,b0418
Op:nrfABCDEFG	7	b4070,b4071,b4072,b4073,b4074,b4075,b4076
Op:nsrR-rnr-rlmB-yjfIJ	5	b4178,b4179,b4180,b4181,b4182
Op:nudB-yebC-ruvC	3	b1865,b1864,b1863
Op:nudC-hemE-nfi	3	b3996,b3997,b3998
Op:nudF-yqiB-cpdA-yqiA-parE	5	b3034,b3033,b3032,b3031,b3030
Op:nuoABCEFGHIJKLMN	13	b2288,b2287,b2286,b2285,b2284,b2283,b2282,b2281,b2280,b2279,b2278,b2277,b2276
Op:ompR-envZ	2	b3405,b3404
Op:opgGH	2	b1048,b1049
Op:oppABCDF	5	b1243,b1244,b1245,b1246,b1247
Op:osmF-yehYXW	4	b2131,b2130,b2129,b2128
Op:otsBA	2	b1897,b1896
Op:paaABCDEFGHIJK	11	b1388,b1389,b1390,b1391,b1392,b1393,b1394,b1395,b1396,b1397,b1398
Op:paaXY	2	b1399,b1400
Op:pabB-nudL	2	b1812,b1813
Op:pabC-mltG-tmk-holB-ycfH	5	b1096,b1097,b1098,b1099,b1100
Op:panBC	2	b0134,b0133
Op:panE-yajL	2	b0425,b0424
Op:paoABCD	4	b0286,b0285,b0284,b0283
Op:pcnB-folK	2	b0143,b0142
Op:pdeI-dgcI	2	b0833,b0834
Op:pdhR-aceEF-lpd	4	b0113,b0114,b0115,b0116
Op:pdxB-usg-truA-dedA	4	b2320,b2319,b2318,b2317
Op:pdxH-tyrS-pdxY	3	b1638,b1637,b1636
Op:pepQ-yigZ-trkH-hemG	4	b3847,b3848,b3849,b3850
Op:pflDC	2	b3951,b3952
Op:pgaABCD	4	b1024,b1023,b1022,b1021
Op:pgpC-tadA	2	b2560,b2559
Op:pheLA	2	b2598,b2599
Op:phnCDEFGHIJKLMNOP	14	b4106,b4105,b4583,b4102,b4101,b4100,b4099,b4098,b4097,b4096,b4095,b4094,b4093,b4092
Op:phoA-psiF	2	b0383,b0384
Op:phoBR	2	b0399,b0400
Op:phoPQ	2	b1130,b1129
Op:pldB-yigL	2	b3825,b3826
Op:pntAB	2	b1603,b1602
Op:potABCD	4	b1126,b1125,b1124,b1123
Op:potFGHI	4	b0854,b0855,b0856,b0857
Op:ppdAB-ygdB-ppdC-recC	5	b2826,b2825,b2824,b2823,b2822
Op:ppdD-hofBC	3	b0108,b0107,b0106
Op:ppiB-lpxH	2	b0525,b0524
Op:ppk-ppx	2	b2501,b2502
Op:pqiABC	3	b0950,b0951,b0952
Op:preTA	2	b2146,b2147
Op:priC-ybaM	2	b0467,b0466
Op:prlC-rsmJ	2	b3498,b3497
Op:prlF-yhaV	2	b3129,b3130
Op:prmB-aroC-mepA-yfcA-epmC-yfcL	6	b2330,b2329,b2328,b2327,b2326,b2325
Op:proBA	2	b0242,b0243
Op:proQ-prc	2	b1831,b1830
